epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2850.21,0.62818,2.18346,0.95023,0.77705,0.54041,0.58958,0.51178,0.56614,1.13019,0.90558,0.00332553,0.00332553,0.00332553
2,5760.38,0.62844,1.00175,0.93039,0.76839,0.55873,0.62085,0.50039,0.68562,1.06651,0.96494,0.00659294,0.00659294,0.00659294
3,8640.21,0.75535,1.10446,0.97683,0.67433,0.4525,0.48102,0.37578,0.93235,1.56274,1.10011,0.00979435,0.00979435,0.00979435
4,11523.4,0.86445,1.2095,1.01775,0.7513,0.52052,0.59756,0.44618,0.81425,1.36907,1.00595,0.009703,0.009703,0.009703
5,14415.4,0.83917,1.10035,1.01209,0.75133,0.56943,0.63754,0.49902,0.74176,1.03439,0.97717,0.009604,0.009604,0.009604
6,17290.2,0.79768,1.00601,0.99601,0.74541,0.588,0.63745,0.50387,0.71938,1.00813,0.96637,0.009505,0.009505,0.009505
7,20199.4,0.76318,0.9436,0.97805,0.82425,0.59359,0.67239,0.53513,0.69668,0.92537,0.97084,0.009406,0.009406,0.009406
8,23106.7,0.72937,0.87109,0.96485,0.82523,0.63695,0.70772,0.57246,0.65249,0.79132,0.94301,0.009307,0.009307,0.009307
9,25991.8,0.70377,0.83491,0.95792,0.83658,0.68328,0.7313,0.6011,0.63403,0.77415,0.92748,0.009208,0.009208,0.009208
10,28871.9,0.6913,0.7915,0.95336,0.79767,0.66743,0.74236,0.59452,0.6473,0.76151,0.9472,0.009109,0.009109,0.009109
11,31729.8,0.6653,0.75983,0.94497,0.81823,0.6964,0.73828,0.6084,0.57186,0.69889,0.91067,0.00901,0.00901,0.00901
12,34599.8,0.65334,0.72477,0.93523,0.84665,0.7187,0.81648,0.65399,0.57494,0.64143,0.90608,0.008911,0.008911,0.008911
13,37493.6,0.63393,0.69646,0.92985,0.82597,0.77093,0.8236,0.67701,0.54729,0.64592,0.8944,0.008812,0.008812,0.008812
14,40383.2,0.62322,0.68416,0.92399,0.87402,0.73435,0.8388,0.69713,0.5382,0.595,0.89025,0.008713,0.008713,0.008713
15,43492.8,0.61655,0.67022,0.92527,0.73717,0.77731,0.82125,0.67504,0.54987,0.63599,0.90596,0.008614,0.008614,0.008614
16,46439,0.60221,0.63274,0.91761,0.85806,0.73903,0.81541,0.6909,0.51841,0.56382,0.89079,0.008515,0.008515,0.008515
17,50355.7,0.59856,0.62828,0.9191,0.79594,0.77014,0.8067,0.68124,0.51776,0.57159,0.88992,0.008416,0.008416,0.008416
