epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2718.32,0.62958,2.18116,0.95034,0.78583,0.48979,0.55272,0.46446,0.64861,1.31611,0.94824,0.00332553,0.00332553,0.00332553
2,5326.77,0.62804,1.0154,0.92962,0.77386,0.52175,0.57003,0.46477,0.69023,1.15393,0.96571,0.00659294,0.00659294,0.00659294
3,7976.96,0.75942,1.10893,0.97821,0.75073,0.4498,0.50711,0.38793,0.91119,1.42727,1.07231,0.00979435,0.00979435,0.00979435
4,10609.6,0.86166,1.1939,1.02094,0.75689,0.56278,0.61943,0.46767,0.80962,1.1832,1.0185,0.009703,0.009703,0.009703
5,13232.4,0.84198,1.10252,1.0162,0.63324,0.5486,0.57526,0.43353,0.80227,1.17487,1.03367,0.009604,0.009604,0.009604
6,15819.2,0.79488,1.01085,0.99814,0.80541,0.65493,0.69396,0.53926,0.70364,0.88967,0.96074,0.009505,0.009505,0.009505
7,18409.6,0.76085,0.93342,0.97954,0.79006,0.63134,0.6948,0.54602,0.68909,0.86715,0.95643,0.009406,0.009406,0.009406
8,21005.4,0.73517,0.88101,0.96983,0.7982,0.69253,0.7798,0.62287,0.66699,0.74704,0.94136,0.009307,0.009307,0.009307
9,23592.6,0.70287,0.83757,0.95783,0.80184,0.67706,0.7072,0.57695,0.62857,0.75878,0.93006,0.009208,0.009208,0.009208
10,26199.3,0.68976,0.78539,0.95266,0.83846,0.7062,0.80559,0.67147,0.59361,0.66417,0.92304,0.009109,0.009109,0.009109
11,28861.1,0.6593,0.75497,0.94246,0.83768,0.70288,0.80381,0.65019,0.58848,0.67725,0.92009,0.00901,0.00901,0.00901
12,31486.9,0.64814,0.72435,0.93494,0.84737,0.72312,0.78021,0.65153,0.56473,0.63668,0.90264,0.008911,0.008911,0.008911
13,34119.5,0.63627,0.70183,0.93205,0.84936,0.70777,0.81567,0.67305,0.55528,0.62856,0.90655,0.008812,0.008812,0.008812
14,36752.1,0.62862,0.69082,0.92803,0.83852,0.74865,0.78636,0.66226,0.55196,0.59539,0.90436,0.008713,0.008713,0.008713
15,39384.4,0.61478,0.66893,0.92511,0.84434,0.73941,0.82047,0.6757,0.53862,0.60474,0.89324,0.008614,0.008614,0.008614
16,41999,0.60368,0.64652,0.91812,0.82335,0.7834,0.8434,0.70243,0.52096,0.56416,0.88996,0.008515,0.008515,0.008515
17,44608.3,0.59538,0.63197,0.91559,0.89001,0.7719,0.84262,0.71786,0.51429,0.55273,0.89152,0.008416,0.008416,0.008416
18,47240.4,0.57988,0.62066,0.90851,0.91293,0.76585,0.84782,0.71728,0.49817,0.53117,0.87897,0.008317,0.008317,0.008317
19,49877.5,0.57537,0.60347,0.90965,0.84336,0.78934,0.8482,0.70545,0.49928,0.53313,0.87933,0.008218,0.008218,0.008218
20,52535.8,0.56847,0.59211,0.90546,0.868,0.8018,0.85512,0.73414,0.49659,0.51822,0.8767,0.008119,0.008119,0.008119
21,55167.7,0.56327,0.58145,0.90739,0.87587,0.7808,0.85088,0.71672,0.48587,0.50431,0.87403,0.00802,0.00802,0.00802
22,57782.5,0.55342,0.56596,0.89898,0.79656,0.84138,0.85554,0.72339,0.49956,0.51069,0.88522,0.007921,0.007921,0.007921
23,60412.5,0.54842,0.561,0.90131,0.83056,0.82286,0.87511,0.74928,0.4753,0.48515,0.86792,0.007822,0.007822,0.007822
24,63036.1,0.54171,0.55278,0.89525,0.82994,0.79223,0.85265,0.72551,0.49888,0.51534,0.88691,0.007723,0.007723,0.007723
25,65662.8,0.52732,0.54303,0.89044,0.87805,0.83174,0.87624,0.75189,0.45185,0.45623,0.86988,0.007624,0.007624,0.007624
26,68279.9,0.53015,0.53344,0.88978,0.80659,0.8591,0.87049,0.74204,0.45927,0.46039,0.86683,0.007525,0.007525,0.007525
27,70887.3,0.52772,0.52385,0.89109,0.82809,0.84271,0.86844,0.74015,0.4494,0.46778,0.86459,0.007426,0.007426,0.007426
28,73523.9,0.52266,0.5232,0.89059,0.87482,0.8073,0.86132,0.74668,0.45133,0.46686,0.86619,0.007327,0.007327,0.007327
29,76146.1,0.51513,0.51263,0.88642,0.81862,0.87688,0.88636,0.75087,0.44825,0.44047,0.86155,0.007228,0.007228,0.007228
30,78740.4,0.51145,0.51356,0.88547,0.81012,0.86012,0.88868,0.77233,0.4493,0.44658,0.86252,0.007129,0.007129,0.007129
31,81319,0.50783,0.49774,0.8837,0.87933,0.7936,0.88145,0.7599,0.43087,0.44134,0.85478,0.00703,0.00703,0.00703
32,83902,0.50119,0.49599,0.88161,0.88493,0.85149,0.88628,0.7448,0.43315,0.43422,0.86026,0.006931,0.006931,0.006931
33,86459.8,0.50019,0.49205,0.88306,0.8919,0.82098,0.87413,0.75651,0.42345,0.43787,0.85325,0.006832,0.006832,0.006832
34,89032.2,0.48913,0.47311,0.87981,0.90853,0.83942,0.89998,0.79239,0.42516,0.42298,0.8532,0.006733,0.006733,0.006733
35,91629.1,0.49639,0.48203,0.88018,0.89423,0.82626,0.8821,0.76991,0.43608,0.43707,0.86067,0.006634,0.006634,0.006634
36,94231.6,0.48606,0.47373,0.87813,0.85428,0.85885,0.88987,0.76935,0.42472,0.4164,0.85808,0.006535,0.006535,0.006535
37,96828.6,0.47949,0.464,0.87399,0.83559,0.87259,0.87905,0.7646,0.4168,0.41572,0.85571,0.006436,0.006436,0.006436
38,99367.4,0.47239,0.4606,0.8724,0.9116,0.82898,0.88818,0.77609,0.41216,0.42855,0.84912,0.006337,0.006337,0.006337
39,101901,0.47293,0.45515,0.87472,0.89586,0.80851,0.87506,0.75914,0.41221,0.40963,0.85433,0.006238,0.006238,0.006238
40,104446,0.47145,0.45443,0.872,0.88964,0.83382,0.88283,0.77557,0.40617,0.40945,0.85091,0.006139,0.006139,0.006139
41,107007,0.46847,0.44562,0.87162,0.87578,0.83282,0.88406,0.77756,0.40143,0.39836,0.84601,0.00604,0.00604,0.00604
42,109551,0.46816,0.44344,0.87395,0.87116,0.84393,0.88624,0.77375,0.41357,0.40344,0.85772,0.005941,0.005941,0.005941
43,112101,0.46357,0.44554,0.86974,0.90379,0.82391,0.88846,0.78388,0.40568,0.39519,0.85261,0.005842,0.005842,0.005842
44,114680,0.45228,0.43189,0.86656,0.90652,0.84592,0.90482,0.79691,0.39046,0.39332,0.84548,0.005743,0.005743,0.005743
45,117259,0.45587,0.43501,0.86983,0.89389,0.83743,0.89574,0.78751,0.3939,0.38719,0.84694,0.005644,0.005644,0.005644
46,119838,0.45496,0.42737,0.87037,0.88683,0.86952,0.89489,0.79198,0.39824,0.38365,0.84857,0.005545,0.005545,0.005545
47,122414,0.44757,0.41949,0.86661,0.8857,0.84986,0.90298,0.78342,0.39359,0.3848,0.84413,0.005446,0.005446,0.005446
48,125002,0.44446,0.41154,0.86221,0.88677,0.83089,0.8976,0.79793,0.39022,0.37958,0.84597,0.005347,0.005347,0.005347
49,127573,0.44261,0.41966,0.86354,0.90883,0.83322,0.89482,0.79327,0.38896,0.37566,0.85141,0.005248,0.005248,0.005248
50,130144,0.44206,0.41342,0.86311,0.88385,0.84427,0.89148,0.79756,0.38569,0.37446,0.8426,0.005149,0.005149,0.005149
51,132722,0.43771,0.40483,0.86165,0.89804,0.85199,0.90132,0.80686,0.38351,0.37393,0.84674,0.00505,0.00505,0.00505
52,135294,0.43213,0.40523,0.86298,0.87772,0.85463,0.89432,0.80394,0.3803,0.37042,0.84271,0.004951,0.004951,0.004951
53,137927,0.43094,0.39731,0.86163,0.89428,0.85151,0.89646,0.80223,0.37998,0.36748,0.84247,0.004852,0.004852,0.004852
54,140586,0.42794,0.39042,0.85944,0.89858,0.83872,0.90246,0.79393,0.37987,0.36552,0.84553,0.004753,0.004753,0.004753
55,143243,0.41953,0.38677,0.85724,0.87773,0.85657,0.90484,0.80646,0.36817,0.35707,0.8342,0.004654,0.004654,0.004654
56,145889,0.41955,0.38852,0.852,0.90124,0.83964,0.89966,0.80508,0.37257,0.3539,0.84164,0.004555,0.004555,0.004555
57,148480,0.41621,0.3769,0.85582,0.90268,0.86555,0.90354,0.8077,0.37398,0.35858,0.84271,0.004456,0.004456,0.004456
58,151136,0.41545,0.37971,0.853,0.89668,0.85651,0.90654,0.81073,0.36793,0.35634,0.83783,0.004357,0.004357,0.004357
59,153778,0.41679,0.38116,0.8552,0.85898,0.8682,0.88976,0.80464,0.37148,0.36063,0.84005,0.004258,0.004258,0.004258
60,156421,0.41085,0.36972,0.85283,0.89644,0.84303,0.89604,0.80097,0.36669,0.3607,0.83828,0.004159,0.004159,0.004159
