epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.58,0.81563,3.63354,1.00707,0.66522,0.33877,0.3458,0.28224,0.78778,1.927,1.00774,0.00332553,0.00332553,0.00332553
2,738.185,0.81983,2.15204,0.99021,0.76502,0.41995,0.46904,0.37175,0.82961,1.39508,0.99583,0.00659294,0.00659294,0.00659294
3,1101.36,0.91826,2.01947,1.0313,0.69696,0.35646,0.38651,0.29106,1.02547,1.82027,1.14627,0.00979435,0.00979435,0.00979435
4,1464.21,0.98405,1.91756,1.06853,0.74452,0.44713,0.48783,0.37363,0.88879,1.39601,1.04378,0.009703,0.009703,0.009703
5,1827.13,0.92287,1.61857,1.04282,0.64658,0.49133,0.53574,0.41901,0.84228,1.32287,1.02395,0.009604,0.009604,0.009604
6,2189.78,0.88569,1.39726,1.03056,0.71661,0.53636,0.5974,0.44981,0.83637,1.11371,1.02486,0.009505,0.009505,0.009505
7,2552.37,0.84113,1.23707,1.00748,0.75148,0.5658,0.64869,0.5011,0.77991,1.07198,0.98362,0.009406,0.009406,0.009406
8,2913.61,0.81327,1.12777,0.99762,0.70686,0.61628,0.66756,0.52818,0.74462,0.98088,0.97913,0.009307,0.009307,0.009307
9,3275.16,0.78531,1.04224,0.98396,0.73668,0.61648,0.67941,0.53189,0.70687,0.97732,0.9563,0.009208,0.009208,0.009208
10,3637.52,0.76335,0.97314,0.97632,0.79343,0.64762,0.70158,0.56933,0.64119,0.80742,0.92736,0.009109,0.009109,0.009109
11,3998.22,0.73657,0.92036,0.9633,0.78991,0.65652,0.73014,0.59553,0.61791,0.76722,0.91371,0.00901,0.00901,0.00901
12,4359.04,0.73107,0.89608,0.95843,0.80446,0.66622,0.73408,0.59999,0.62657,0.73905,0.92694,0.008911,0.008911,0.008911
13,4719.84,0.70745,0.84292,0.95315,0.80422,0.66437,0.72756,0.60352,0.61874,0.75124,0.91328,0.008812,0.008812,0.008812
14,5080.25,0.6944,0.82286,0.94701,0.798,0.72225,0.77431,0.62976,0.60805,0.71549,0.90836,0.008713,0.008713,0.008713
15,5440.48,0.67859,0.78589,0.93988,0.8673,0.70896,0.83695,0.66924,0.58186,0.6618,0.90265,0.008614,0.008614,0.008614
16,5802.26,0.67609,0.77242,0.9411,0.85284,0.75664,0.81001,0.66341,0.58312,0.66128,0.89654,0.008515,0.008515,0.008515
17,6163.93,0.67008,0.75735,0.93968,0.86115,0.76073,0.8359,0.67814,0.57646,0.62242,0.90047,0.008416,0.008416,0.008416
